Tag ID,Marketplace Tag Name,Tag Title,Tag Status,Tag Load Rule Mappings,Tag Data Mappings
1003,Criteo OneTag,"Criteo OneTag - Tagging Anbieten Page",active,js.cmp_load,None,
,,,,js.criteo_sa_load,,
,,,,js.pag_pagetitle,,

1004,Criteo OneTag,"Criteo OneTag - Conversion PPA",inactive,js.cmp_load,js.criteo_price - product.price,
,,,,js.com_cit_articlenumber,js.criteo_quantity - product.quantity,
,,,,js.criteo_sa_load,js.criteo_transaction_id - transaction_id,

1006,Criteo OneTag,"Criteo OneTag - Tagging Anbieten Underpages",active,js.cmp_load,js.criteo_price - product.price,
,,,,js.criteo_sa_load,js.criteo_quantity - product.quantity,
,,,,js.pag_pagetitle,js.criteo_transaction_id - transaction_id,
,,,,,js.psn_customer_segment - product.id,

1019,Bing Ads Universal Event Tracking (UET),"Bing (BC) Solvency Check Sale (m028)",active,cp.utag_main_bing_optout,js.evt_ga_action - ea,
,,,,js.bing_load,js.evt_ga_category - ec,
,,,,js.cmp_load,js.evt_ga_label - el,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.evt_ga_label,,

1021,Bing Ads Universal Event Tracking (UET),"Bing (NHB) Neubau Leads",inactive,cp.utag_main_bing_optout,cp.utag_main_seaid_ses - ec,
,,,,js.bing_load,,
,,,,js.cmp_load,,
,,,,js.evt_action,,
,,,,js.evt_category,,
,,,,js.evt_event,,
,,,,js.pag_pagetitle,,

1022,Criteo OneTag,"Criteo OneTag - Tagging Anbieten Makler Ausschluss",active,js.cmp_load,js.criteo_event_name - event,
,,,,js.criteo_sa_load,js.criteo_event_viewList - viewList.item,
,,,,js.psn_customer_segment,js.criteo_event_viewSearch - viewSearch.from,
,,,,js.svc_module_name,,

1025,Criteo OneTag,"Criteo OneTag - Tagging Makler Suche",active,js.cmp_load,js.criteo_event_name - event,
,,,,js.criteo_sa_load,js.criteo_event_viewItem - product_id,
,,,,js.pag_pagetitle,,

1026,Criteo OneTag,"Criteo OneTag - Conversion Makler Leadengine",active,js.cmp_load,js.criteo_price - product.price,
,,,,js.criteo_sa_load,js.criteo_product_id - product.id,
,,,,js.evt_ga_action,js.criteo_quantity - product.quantity,
,,,,js.evt_ga_category,js.criteo_transaction_id - transaction_id,
,,,,js.evt_ga_label,,
,,,,js.pag_dg3,,
,,,,js.svc_module_name,,

1037,DoubleClick - Floodlight,"DoubleClick - Floodlight - SalesConversion MLE - metapeople",active,cp.utag_main_doubleclick_optout,None,
,,,,js.cmp_load,,
,,,,js.google_non_tcf_load,,
,,,,js.pag_pagetitle,,

1039,Bing Ads Universal Event Tracking (UET),"Bing (G) Commercial Leads (m039)",active,cp.utag_main_bing_optout,cp.utag_main_seaid_ses - ec,
,,,,cp.utag_main_seaid_ses,,
,,,,js.bing_load,,
,,,,js.cmp_load,,
,,,,js.evt_count_pm_suche,,
,,,,js.evt_event,,
,,,,js.evt_ga_action,,
,,,,js.obj_ityp,,

1040,DoubleClick - Floodlight,"DoubleClick - Floodlight - SalesConversion PPA - metapeople ",active,cp.utag_main_doubleclick_optout,None,
,,,,cp.utag_main_utm_campaign_ses,,
,,,,cp.utag_main_utm_medium_ses,,
,,,,js.cmp_load,,
,,,,js.com_cit_articlenumber,,
,,,,js.google_non_tcf_load,,

1073,Krux-Ereignispixel,"Krux - Residential - Expose - Map POI School",active,js.cmp_load,js.obj_ityp - obj_ityp,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.evt_ga_label,,
,,,,js.salesforce_dmp_krux_load,,

1074,Krux-Ereignispixel,"Krux - Residential - Expose - Map POI Kindergarden",active,js.cmp_load,js.obj_ityp - obj_ityp,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.evt_ga_label,,
,,,,js.salesforce_dmp_krux_load,,

1082,Krux Event Pixel,"Krux - Finance - Lead Finance All",active,js.cmp_load,js.budget - budget,
,,,,js.evt_ga_action,js.employment - employment,
,,,,js.evt_ga_category,js.evt_event - evt_event,
,,,,js.salesforce_dmp_krux_load,js.evt_ga_label - evt_ga_label,
